職缺名稱,公司資訊,薪資,網址,所需技能,工作經歷,公司地址
Sr. Embedded Software Engineer 資深嵌入式軟體工程師,Tomofun_友愉股份有限公司,待遇面議,https://www.104.com.tw/job/6mezc?jobsource=hotjob_chr,[''],5年以上,台北市松山區民權東路三段178號4樓
品牌行銷企劃-金融業（永寧走路3分鐘）須對金融有興趣,恆生金融科技股份有限公司,"月薪30,000~45,000元",https://www.104.com.tw/job/6nuri?jobsource=hotjob_chr,[''],1年以上,新北市土城區中央路三段32號6樓（永寧捷運站步行3分鐘）
數據分析師,雲康管理顧問有限公司,待遇面議,https://www.104.com.tw/job/74nl4?jobsource=hotjob_chr,"['Python', 'MS SQL', 'Tableau', 'SAS', 'SPSS', '']",1年以上,台北市南港區忠孝東路六段467號
熱情招募_全方位銷售達人(結合AI、大數據、互聯網、雲端科技的產品與服務平台),TutorABC_麥奇數位股份有限公司,"月薪25,000~60,000元",https://www.104.com.tw/job/6cndt?jobsource=hotjob_chr,[''],不拘,台中市南區忠明南路758號30樓(大安國際雙子星)
foodpanda 年度品牌招募活動,德商foodpanda_富胖達股份有限公司,待遇面議,https://www.104.com.tw/job/74oo7?jobsource=hotjob_chr,[''],2年以上,台北市信義區
"【高雄】""艾波廚房""健康餐盒 正職廚房助理",貓頭鷹名宿經營顧問有限公司,"月薪24,000~32,000元",https://www.104.com.tw/job/74gfw?jobsource=hotjob_chr,[''],不拘,高雄市左營區南屏路250-1號
資深應用工程師 Senior Application Engineer,美商_國家儀器股份有限公司,待遇面議,https://www.104.com.tw/job/74cdz?jobsource=hotjob_chr,"['C', 'C#', 'C++', 'C++.Net', 'Java', 'Python', 'JavaScript', '']",5年以上,新竹市敦化南路二段216號12樓
【約聘】新餐廳夥伴開發/業務人員 (台南地區) - C48,德商foodpanda_富胖達股份有限公司,"月薪25,000~45,000元",https://www.104.com.tw/job/749ba?jobsource=hotjob_chr,[''],1年以上,台南市中西區忠義路二段180號
AI大數據分析師/主管,網際威信股份有限公司,"年薪500,000~1,300,000元",https://www.104.com.tw/job/6nnhm?jobsource=jolist_c_relevance,[''],1年以上,台北市內湖區港墘路200號7樓
大數據資料處理工程師,台灣現觀股份有限公司,待遇面議,https://www.104.com.tw/job/70aaz?jobsource=jolist_c_relevance,"['Linux', 'Java', 'Python', 'JDBC', 'MySQL', 'ODBC', '']",不拘,台北市中山區中山北路二段42號2樓
大數據應用分析人員,台北富邦商業銀行股份有限公司,"月薪45,000~80,000元",https://www.104.com.tw/job/57ywe?jobsource=jolist_c_relevance,[''],3年以上,台北市大安區仁愛路四段169號22樓
大數據研究中心研究員,大數據股份有限公司,"月薪33,000~50,000元",https://www.104.com.tw/job/6v9d2?jobsource=jolist_c_relevance,[''],不拘,台北市中山區民生東路二段145號5樓
Big Data Solution PO 大數據應用產品經理,91APP_九易宇軒股份有限公司,待遇面議,https://www.104.com.tw/job/660xg?jobsource=jolist_c_relevance,[''],不拘,台北市南港區八德路四段768巷5號6樓
AI 大數據科學家,昱峰智能大數據科技股份有限公司,待遇面議,https://www.104.com.tw/job/5x0ln?jobsource=jolist_c_relevance,"['Linux', 'Github', 'Python', '']",不拘,台北市信義區永吉路168號12樓之1
